employee_id,name,department,salary,city,join_date
E001,Deepak,Support,39670,Chennai,08-05-2022
E002,Riya,Support,34554,Pune,08-09-2024
E003,Priya,Finance,90323,Bangalore,23-04-2022
E004,Priya,Operations,77809,Hyderabad,22-01-2024
E005,Simran,Finance,59644,Delhi,24-01-2024
E006,Vivek,Marketing,89678,Chennai,01-07-2024
E007,Harsh,Sales,28352,Hyderabad,23-05-2024
E008,Sneha,Marketing,20617,Bangalore,25-03-2022
E009,Rahul,Sales,31618,Kolkata,05-11-2021
E010,Simran,Marketing,46949,Mumbai,08-09-2020
E011,Vivek,Marketing,69435,Delhi,17-03-2025
E012,Riya,HR,57287,Kolkata,27-06-2023
E013,Deepak,Support,115521,Mumbai,03-03-2025
E014,Aditya,Support,45877,Hyderabad,13-06-2020
E015,Rahul,HR,52847,Delhi,01-02-2022
E016,Kunal,IT,40352,Bangalore,20-12-2022
E017,Isha,Support,96940,Bangalore,06-12-2022
E018,Deepak,Finance,107671,Pune,20-07-2025
E019,Anjali,Marketing,118708,Chennai,20-11-2023
E020,Isha,Marketing,33574,Pune,03-10-2021
E021,Rahul,HR,88361,Hyderabad,25-03-2021
E022,Anjali,HR,89098,Mumbai,26-07-2025
E023,Roshan,HR,21021,Delhi,02-08-2024
E024,Isha,HR,107996,Pune,20-06-2024
E025,Riya,Finance,32085,Delhi,10-03-2025
E026,Harsh,Finance,105584,Kolkata,20-07-2023
E027,Vivek,Marketing,90649,Pune,21-10-2021
E028,Shreya,Operations,24003,Hyderabad,11-06-2024
E029,Harsh,IT,114932,Hyderabad,18-02-2023
E030,Priya,HR,37586,Hyderabad,30-09-2021
E031,Priya,Marketing,47396,Bangalore,24-08-2020
E032,Kunal,Marketing,93960,Pune,21-02-2023
E033,Aman,Support,114470,Hyderabad,29-12-2020
E034,Shreya,Marketing,76966,Delhi,19-11-2023
E035,Rahul,Operations,57534,Delhi,17-11-2023
E036,Simran,HR,76241,Hyderabad,13-07-2021
E037,Harsh,Support,105614,Chennai,21-12-2021
E038,Anjali,Sales,64341,Hyderabad,09-01-2021
E039,Riya,Support,46649,Hyderabad,08-08-2022
E040,Sneha,Sales,64586,Bangalore,29-03-2021
E041,Aditya,IT,27183,Mumbai,18-08-2022
E042,Priya,Operations,52539,Bangalore,28-02-2022
E043,Shreya,Marketing,40216,Hyderabad,25-05-2023
E044,Sneha,Support,39567,Hyderabad,21-12-2024
E045,Harsh,HR,50900,Bangalore,09-08-2021
E046,Isha,HR,90015,Pune,16-01-2024
E047,Priya,Finance,48974,Mumbai,04-04-2021
E048,Shreya,HR,76957,Delhi,03-09-2020
E049,Kunal,HR,75855,Hyderabad,23-09-2023
E050,Deepak,IT,70924,Hyderabad,16-04-2024
E051,Anjali,Sales,41704,Chennai,28-01-2024
E052,Rahul,Operations,56738,Pune,25-03-2023
E053,Deepak,Marketing,42340,Pune,13-12-2021
E054,Kunal,Sales,103724,Pune,12-08-2021
E055,Aman,Marketing,64824,Kolkata,18-09-2024
E056,Anjali,Operations,79749,Kolkata,15-12-2022
E057,Aman,Finance,66684,Pune,10-05-2022
E058,Priya,Sales,88289,Bangalore,06-12-2024
E059,Riya,Marketing,103183,Mumbai,29-10-2023
E060,Rahul,HR,37623,Bangalore,11-06-2021
E061,Rahul,Sales,102952,Bangalore,23-05-2024
E062,Deepak,Support,111593,Hyderabad,27-07-2024
E063,Simran,Marketing,97348,Kolkata,29-05-2023
E064,Rahul,Operations,59458,Hyderabad,27-02-2022
E065,Isha,Sales,53577,Pune,19-03-2025
E066,Isha,Sales,110201,Hyderabad,18-01-2021
E067,Priya,IT,87226,Mumbai,12-02-2023
E068,Sneha,Sales,102407,Pune,06-04-2023
E069,Shreya,HR,70284,Kolkata,02-05-2022
E070,Kunal,Support,55470,Mumbai,29-03-2021
E071,Aman,Marketing,112903,Mumbai,19-07-2020
E072,Roshan,Operations,65402,Chennai,05-02-2022
E073,Deepak,HR,94777,Bangalore,04-01-2023
E074,Isha,IT,90388,Kolkata,18-11-2023
E075,Simran,Marketing,57627,Pune,10-07-2023
E076,Vivek,Support,111823,Pune,25-11-2023
E077,Isha,Support,69475,Mumbai,21-06-2023
E078,Anjali,Finance,102989,Kolkata,19-08-2021
E079,Sneha,HR,104411,Chennai,17-08-2022
E080,Roshan,IT,40973,Chennai,16-01-2022
E081,Anjali,IT,63302,Delhi,02-10-2020
E082,Vivek,Marketing,62057,Delhi,24-12-2021
E083,Simran,Operations,104004,Bangalore,19-12-2020
E084,Simran,HR,42190,Mumbai,03-06-2022
E085,Simran,Marketing,103867,Mumbai,10-11-2021
E086,Harsh,Sales,30459,Pune,16-09-2021
E087,Simran,Marketing,68080,Pune,24-12-2022
E088,Aman,Marketing,104127,Mumbai,12-04-2023
E089,Rahul,Marketing,58336,Pune,28-11-2024
E090,Deepak,Sales,63282,Kolkata,19-01-2024
E091,Shreya,Operations,53865,Bangalore,24-05-2021
E092,Roshan,Sales,49341,Mumbai,26-06-2022
E093,Simran,Operations,95086,Pune,19-07-2020
E094,Priya,Operations,110022,Mumbai,25-05-2020
E095,Riya,Support,99974,Bangalore,21-09-2022
E096,Anjali,Operations,48126,Pune,10-04-2024
E097,Harsh,IT,73280,Kolkata,15-11-2024
E098,Deepak,Sales,35340,Hyderabad,14-06-2025
E099,Priya,Sales,90133,Pune,06-02-2022
E100,Aditya,Marketing,104729,Mumbai,16-06-2024
E101,Harsh,Marketing,28398,Hyderabad,15-07-2025
E102,Aman,Marketing,96747,Bangalore,10-04-2024
E103,Simran,Operations,82851,Hyderabad,11-03-2025
E104,Harsh,Sales,97456,Chennai,05-05-2024
E105,Anjali,Finance,27015,Chennai,24-09-2021
E106,Vivek,Operations,76116,Hyderabad,03-07-2022
E107,Rahul,Marketing,103057,Chennai,12-08-2020
E108,Riya,IT,41080,Delhi,23-06-2020
E109,Kunal,Sales,25026,Bangalore,03-11-2022
E110,Sneha,Operations,94794,Pune,11-08-2025
E111,Isha,Finance,100888,Bangalore,03-04-2025
E112,Simran,Operations,23755,Chennai,28-11-2020
E113,Aman,Marketing,111110,Chennai,10-04-2022
E114,Shreya,Finance,88994,Hyderabad,17-11-2020
E115,Sneha,Sales,63976,Chennai,29-04-2022
E116,Anjali,Finance,113432,Kolkata,12-07-2023
E117,Riya,IT,86040,Hyderabad,12-09-2021
E118,Roshan,Support,52623,Mumbai,08-04-2024
E119,Roshan,HR,75378,Delhi,17-09-2024
E120,Sneha,Sales,105340,Delhi,18-09-2024
E121,Simran,Operations,79658,Mumbai,31-10-2024
E122,Riya,Operations,42883,Kolkata,06-03-2023
E123,Shreya,HR,91834,Hyderabad,31-01-2023
E124,Shreya,Finance,87432,Hyderabad,15-03-2025
E125,Roshan,Operations,27809,Delhi,07-08-2025
E126,Isha,Finance,97061,Hyderabad,21-03-2022
E127,Aditya,Finance,110939,Hyderabad,06-05-2021
E128,Kunal,Support,74849,Delhi,01-11-2022
E129,Sneha,Support,79660,Bangalore,08-02-2021
E130,Roshan,Marketing,68582,Mumbai,27-06-2021
E131,Kunal,Sales,53956,Delhi,26-01-2024
E132,Priya,Operations,75492,Pune,12-01-2024
E133,Aditya,IT,40915,Bangalore,05-10-2022
E134,Aditya,Support,39927,Delhi,18-03-2021
E135,Isha,Sales,59810,Delhi,18-02-2023
E136,Aditya,Marketing,110610,Bangalore,01-11-2020
E137,Kunal,Sales,79026,Chennai,22-10-2024
E138,Riya,Sales,37210,Delhi,02-05-2021
E139,Anjali,HR,20507,Bangalore,23-01-2024
E140,Aman,Support,97174,Kolkata,20-09-2021
E141,Isha,Operations,22669,Pune,24-10-2023
E142,Roshan,Operations,32375,Bangalore,19-01-2024
E143,Harsh,HR,114579,Hyderabad,18-05-2021
E144,Kunal,Support,26355,Kolkata,27-03-2025
E145,Vivek,Finance,107655,Bangalore,24-02-2025
E146,Deepak,Operations,28740,Pune,09-01-2025
E147,Shreya,Marketing,114684,Pune,29-08-2022
E148,Priya,IT,64037,Chennai,02-09-2021
E149,Roshan,Support,84644,Mumbai,26-12-2021
E150,Roshan,Sales,106032,Bangalore,20-04-2021
E151,Aditya,Finance,51173,Pune,02-09-2025
E152,Roshan,Finance,63014,Bangalore,11-11-2024
E153,Roshan,Sales,77590,Chennai,05-11-2020
E154,Vivek,Sales,57040,Bangalore,20-07-2022
E155,Simran,Marketing,91568,Mumbai,24-09-2024
E156,Isha,HR,101083,Hyderabad,18-03-2023
E157,Isha,Operations,20814,Kolkata,13-03-2025
E158,Harsh,Support,56858,Chennai,07-08-2024
E159,Deepak,Support,103027,Kolkata,27-10-2021
E160,Roshan,Finance,49651,Bangalore,09-03-2024
E161,Sneha,Support,104828,Chennai,23-02-2021
E162,Riya,Support,28033,Delhi,14-04-2023
E163,Vivek,Sales,79309,Hyderabad,05-09-2020
E164,Roshan,Support,92615,Kolkata,12-10-2024
E165,Priya,IT,106223,Kolkata,13-08-2024
E166,Kunal,Finance,27911,Mumbai,22-09-2022
E167,Isha,Sales,44801,Hyderabad,28-12-2023
E168,Aman,Operations,32755,Kolkata,11-08-2020
E169,Harsh,Operations,33817,Hyderabad,02-11-2022
E170,Priya,Support,88862,Mumbai,24-01-2025
E171,Aman,Support,35961,Bangalore,05-05-2025
E172,Shreya,IT,66806,Hyderabad,30-05-2024
E173,Shreya,Support,45124,Hyderabad,21-06-2023
E174,Aditya,Marketing,96100,Pune,24-08-2020
E175,Isha,Finance,39779,Delhi,27-01-2025
E176,Riya,Operations,111873,Delhi,25-07-2021
E177,Vivek,Operations,38728,Bangalore,22-11-2022
E178,Deepak,Sales,102078,Delhi,05-12-2020
E179,Roshan,IT,35250,Chennai,07-09-2021
E180,Vivek,Support,83255,Bangalore,23-07-2023
E181,Simran,Finance,43846,Kolkata,14-05-2021
E182,Aditya,Operations,57301,Delhi,11-08-2024
E183,Roshan,Finance,100820,Mumbai,25-01-2022
E184,Sneha,Marketing,25245,Kolkata,22-04-2024
E185,Aditya,HR,46751,Mumbai,11-01-2022
E186,Sneha,IT,22992,Chennai,15-04-2023
E187,Isha,IT,50030,Mumbai,30-01-2021
E188,Priya,IT,118066,Kolkata,28-11-2024
E189,Harsh,Finance,106743,Bangalore,23-11-2020
E190,Aditya,Marketing,68937,Kolkata,04-08-2021
E191,Isha,Finance,30482,Hyderabad,11-10-2023
E192,Deepak,Marketing,45730,Pune,04-11-2020
E193,Shreya,Operations,37534,Chennai,10-05-2022
E194,Vivek,Marketing,29672,Mumbai,25-10-2023
E195,Shreya,Support,83282,Pune,03-08-2024
