employee_id,name,department,salary,city,join_date,Allowance
E001,Deepak,Support,39670,Chennai,08-05-2022,3967
E002,Riya,Support,34554,Pune,08-09-2024,3455.4
E003,Priya,Finance,90323,Bangalore,23-04-2022,9032.3
E004,Priya,Operations,77809,Hyderabad,22-01-2024,7780.9
E005,Simran,Finance,59644,Delhi,24-01-2024,5964.4
E006,Vivek,Marketing,89678,Chennai,01-07-2024,17935.6
E007,Harsh,Sales,28352,Hyderabad,23-05-2024,2835.2
E008,Sneha,Marketing,20617,Bangalore,25-03-2022,4123.4
E009,Rahul,Sales,31618,Kolkata,05-11-2021,3161.8
E010,Simran,Marketing,46949,Mumbai,08-09-2020,9389.8
E011,Vivek,Marketing,69435,Delhi,17-03-2025,13887
E012,Riya,HR,57287,Kolkata,27-06-2023,8593.05
