employee_id,name,city,department
E001,Deepak,Chennai,Support
E002,Riya,Pune,Support
E003,Priya,Bangalore,Finance
E004,Priya,Hyderabad,Operations
E005,Simran,Delhi,Finance
E006,Vivek,Chennai,Marketing
E007,Harsh,Hyderabad,Sales
E008,Sneha,Bangalore,Marketing
E009,Rahul,Kolkata,Sales
E010,Simran,Mumbai,Marketing
E011,Vivek,Delhi,Marketing
E012,Riya,Kolkata,HR
E013,Deepak,Mumbai,Support
E014,Aditya,Hyderabad,Support
E015,Rahul,Delhi,HR
E016,Kunal,Bangalore,IT
E017,Isha,Bangalore,Support
E018,Deepak,Pune,Finance
E019,Anjali,Chennai,Marketing
E020,Isha,Pune,Marketing
E021,Rahul,Hyderabad,HR
E022,Anjali,Mumbai,HR
E023,Roshan,Delhi,HR
E024,Isha,Pune,HR
E025,Riya,Delhi,Finance
E026,Harsh,Kolkata,Finance
E027,Vivek,Pune,Marketing
E028,Shreya,Hyderabad,Operations
E029,Harsh,Hyderabad,IT
E030,Priya,Hyderabad,HR
E031,Priya,Bangalore,Marketing
E032,Kunal,Pune,Marketing
E033,Aman,Hyderabad,Support
E034,Shreya,Delhi,Marketing
E035,Rahul,Delhi,Operations
E036,Simran,Hyderabad,HR
E037,Harsh,Chennai,Support
E038,Anjali,Hyderabad,Sales
E039,Riya,Hyderabad,Support
E040,Sneha,Bangalore,Sales
E041,Aditya,Mumbai,IT
E042,Priya,Bangalore,Operations
E043,Shreya,Hyderabad,Marketing
E044,Sneha,Hyderabad,Support
E045,Harsh,Bangalore,HR
E046,Isha,Pune,HR
E047,Priya,Mumbai,Finance
E048,Shreya,Delhi,HR
E049,Kunal,Hyderabad,HR
E050,Deepak,Hyderabad,IT
E051,Anjali,Chennai,Sales
E052,Rahul,Pune,Operations
E053,Deepak,Pune,Marketing
E054,Kunal,Pune,Sales
E055,Aman,Kolkata,Marketing
E056,Anjali,Kolkata,Operations
E057,Aman,Pune,Finance
E058,Priya,Bangalore,Sales
E059,Riya,Mumbai,Marketing
E060,Rahul,Bangalore,HR
E061,Rahul,Bangalore,Sales
E062,Deepak,Hyderabad,Support
E063,Simran,Kolkata,Marketing
E064,Rahul,Hyderabad,Operations
E065,Isha,Pune,Sales
E066,Isha,Hyderabad,Sales
E067,Priya,Mumbai,IT
E068,Sneha,Pune,Sales
E069,Shreya,Kolkata,HR
E070,Kunal,Mumbai,Support
E071,Aman,Mumbai,Marketing
E072,Roshan,Chennai,Operations
E073,Deepak,Bangalore,HR
E074,Isha,Kolkata,IT
E075,Simran,Pune,Marketing
E076,Vivek,Pune,Support
E077,Isha,Mumbai,Support
E078,Anjali,Kolkata,Finance
E079,Sneha,Chennai,HR
E080,Roshan,Chennai,IT
E081,Anjali,Delhi,IT
E082,Vivek,Delhi,Marketing
E083,Simran,Bangalore,Operations
E084,Simran,Mumbai,HR
E085,Simran,Mumbai,Marketing
E086,Harsh,Pune,Sales
E087,Simran,Pune,Marketing
E088,Aman,Mumbai,Marketing
E089,Rahul,Pune,Marketing
E090,Deepak,Kolkata,Sales
E091,Shreya,Bangalore,Operations
E092,Roshan,Mumbai,Sales
E093,Simran,Pune,Operations
E094,Priya,Mumbai,Operations
E095,Riya,Bangalore,Support
E096,Anjali,Pune,Operations
E097,Harsh,Kolkata,IT
E098,Deepak,Hyderabad,Sales
E099,Priya,Pune,Sales
E100,Aditya,Mumbai,Marketing
E101,Harsh,Hyderabad,Marketing
E102,Aman,Bangalore,Marketing
E103,Simran,Hyderabad,Operations
E104,Harsh,Chennai,Sales
E105,Anjali,Chennai,Finance
E106,Vivek,Hyderabad,Operations
E107,Rahul,Chennai,Marketing
E108,Riya,Delhi,IT
E109,Kunal,Bangalore,Sales
E110,Sneha,Pune,Operations
E111,Isha,Bangalore,Finance
E112,Simran,Chennai,Operations
E113,Aman,Chennai,Marketing
E114,Shreya,Hyderabad,Finance
E115,Sneha,Chennai,Sales
E116,Anjali,Kolkata,Finance
E117,Riya,Hyderabad,IT
E118,Roshan,Mumbai,Support
E119,Roshan,Delhi,HR
E120,Sneha,Delhi,Sales
E121,Simran,Mumbai,Operations
E122,Riya,Kolkata,Operations
E123,Shreya,Hyderabad,HR
E124,Shreya,Hyderabad,Finance
E125,Roshan,Delhi,Operations
