employee_id,name,department,salary,Bonus_status
E003,Priya,Finance,90323.00,9032.3000
E005,Simran,Finance,59644.00,5964.4000
E007,Harsh,Sales,28352.00,4252.8000
E009,Rahul,Sales,31618.00,4742.7000
E016,Kunal,IT,40352.00,4035.2000
E018,Deepak,Finance,107671.00,10767.1000
E025,Riya,Finance,32085.00,3208.5000
E026,Harsh,Finance,105584.00,10558.4000
E029,Harsh,IT,114932.00,11493.2000
E038,Anjali,Sales,64341.00,9651.1500
E040,Sneha,Sales,64586.00,9687.9000
E041,Aditya,IT,27183.00,2718.3000
E047,Priya,Finance,48974.00,4897.4000
E050,Deepak,IT,70924.00,7092.4000
E051,Anjali,Sales,41704.00,6255.6000
E054,Kunal,Sales,103724.00,15558.6000
E057,Aman,Finance,66684.00,6668.4000
E058,Priya,Sales,88289.00,13243.3500
E061,Rahul,Sales,102952.00,15442.8000
E065,Isha,Sales,53577.00,8036.5500
E066,Isha,Sales,110201.00,16530.1500
E067,Priya,IT,87226.00,8722.6000
E068,Sneha,Sales,102407.00,15361.0500
E074,Isha,IT,90388.00,9038.8000
E078,Anjali,Finance,102989.00,10298.9000
E080,Roshan,IT,40973.00,4097.3000
E081,Anjali,IT,63302.00,6330.2000
E086,Harsh,Sales,30459.00,4568.8500
E090,Deepak,Sales,63282.00,9492.3000
E092,Roshan,Sales,49341.00,7401.1500
E097,Harsh,IT,73280.00,7328.0000
E098,Deepak,Sales,35340.00,5301.0000
E099,Priya,Sales,90133.00,13519.9500
E104,Harsh,Sales,97456.00,14618.4000
E105,Anjali,Finance,27015.00,2701.5000
E108,Riya,IT,41080.00,4108.0000
E109,Kunal,Sales,25026.00,3753.9000
E111,Isha,Finance,100888.00,10088.8000
E114,Shreya,Finance,88994.00,8899.4000
E115,Sneha,Sales,63976.00,9596.4000
E116,Anjali,Finance,113432.00,11343.2000
E117,Riya,IT,86040.00,8604.0000
E120,Sneha,Sales,105340.00,15801.0000
E124,Shreya,Finance,87432.00,8743.2000
E126,Isha,Finance,97061.00,9706.1000
E127,Aditya,Finance,110939.00,11093.9000
E131,Kunal,Sales,53956.00,8093.4000
E133,Aditya,IT,40915.00,4091.5000
E135,Isha,Sales,59810.00,8971.5000
E137,Kunal,Sales,79026.00,11853.9000
E138,Riya,Sales,37210.00,5581.5000
E145,Vivek,Finance,107655.00,10765.5000
E148,Priya,IT,64037.00,6403.7000
E150,Roshan,Sales,106032.00,15904.8000
E151,Aditya,Finance,51173.00,5117.3000
E152,Roshan,Finance,63014.00,6301.4000
E153,Roshan,Sales,77590.00,11638.5000
E154,Vivek,Sales,57040.00,8556.0000
E160,Roshan,Finance,49651.00,4965.1000
E163,Vivek,Sales,79309.00,11896.3500
E165,Priya,IT,106223.00,10622.3000
E166,Kunal,Finance,27911.00,2791.1000
E167,Isha,Sales,44801.00,6720.1500
E172,Shreya,IT,66806.00,6680.6000
E175,Isha,Finance,39779.00,3977.9000
E178,Deepak,Sales,102078.00,15311.7000
E179,Roshan,IT,35250.00,3525.0000
E181,Simran,Finance,43846.00,4384.6000
E183,Roshan,Finance,100820.00,10082.0000
E186,Sneha,IT,22992.00,2299.2000
E187,Isha,IT,50030.00,5003.0000
E188,Priya,IT,118066.00,11806.6000
E189,Harsh,Finance,106743.00,10674.3000
E191,Isha,Finance,30482.00,3048.2000
E200,Rahul,Finance,85743.00,8574.3000
