employee_id,name,salary,Category
E001,Deepak,39670.00,Medium Salary
E002,Riya,34554.00,Medium Salary
E003,Priya,90323.00,High Salary
E004,Priya,77809.00,Low Salary
E005,Simran,59644.00,Low Salary
E006,Vivek,89678.00,High Salary
E007,Harsh,28352.00,Medium Salary
E008,Sneha,20617.00,Medium Salary
E009,Rahul,31618.00,Medium Salary
E010,Simran,46949.00,Low Salary
E011,Vivek,69435.00,Low Salary
E012,Riya,57287.00,Low Salary
E013,Deepak,115521.00,High Salary
E014,Aditya,45877.00,Low Salary
E015,Rahul,52847.00,Low Salary
E016,Kunal,40352.00,Low Salary
E017,Isha,96940.00,High Salary
E018,Deepak,107671.00,High Salary
E019,Anjali,118708.00,High Salary
E020,Isha,33574.00,Medium Salary
E021,Rahul,88361.00,High Salary
E022,Anjali,89098.00,High Salary
E023,Roshan,21021.00,Medium Salary
E024,Isha,107996.00,High Salary
E025,Riya,32085.00,Medium Salary
E026,Harsh,105584.00,High Salary
E027,Vivek,90649.00,High Salary
E028,Shreya,24003.00,Medium Salary
E029,Harsh,114932.00,High Salary
E030,Priya,37586.00,Medium Salary
E031,Priya,47396.00,Low Salary
E032,Kunal,93960.00,High Salary
E033,Aman,114470.00,High Salary
E034,Shreya,76966.00,Low Salary
E035,Rahul,57534.00,Low Salary
E036,Simran,76241.00,Low Salary
E037,Harsh,105614.00,High Salary
E038,Anjali,64341.00,Low Salary
E039,Riya,46649.00,Low Salary
E040,Sneha,64586.00,Low Salary
E041,Aditya,27183.00,Medium Salary
E042,Priya,52539.00,Low Salary
E043,Shreya,40216.00,Low Salary
E044,Sneha,39567.00,Medium Salary
E045,Harsh,50900.00,Low Salary
E046,Isha,90015.00,High Salary
E047,Priya,48974.00,Low Salary
E048,Shreya,76957.00,Low Salary
E049,Kunal,75855.00,Low Salary
E050,Deepak,70924.00,Low Salary
E051,Anjali,41704.00,Low Salary
E052,Rahul,56738.00,Low Salary
E053,Deepak,42340.00,Low Salary
E054,Kunal,103724.00,High Salary
E055,Aman,64824.00,Low Salary
E056,Anjali,79749.00,Low Salary
E057,Aman,66684.00,Low Salary
E058,Priya,88289.00,High Salary
E059,Riya,103183.00,High Salary
E060,Rahul,37623.00,Medium Salary
E061,Rahul,102952.00,High Salary
E062,Deepak,111593.00,High Salary
E063,Simran,97348.00,High Salary
E064,Rahul,59458.00,Low Salary
E065,Isha,53577.00,Low Salary
E066,Isha,110201.00,High Salary
E067,Priya,87226.00,High Salary
E068,Sneha,102407.00,High Salary
E069,Shreya,70284.00,Low Salary
E070,Kunal,55470.00,Low Salary
E071,Aman,112903.00,High Salary
E072,Roshan,65402.00,Low Salary
E073,Deepak,94777.00,High Salary
E074,Isha,90388.00,High Salary
E075,Simran,57627.00,Low Salary
E076,Vivek,111823.00,High Salary
E077,Isha,69475.00,Low Salary
E078,Anjali,102989.00,High Salary
E079,Sneha,104411.00,High Salary
E080,Roshan,40973.00,Low Salary
E081,Anjali,63302.00,Low Salary
E082,Vivek,62057.00,Low Salary
E083,Simran,104004.00,High Salary
E084,Simran,42190.00,Low Salary
E085,Simran,103867.00,High Salary
E086,Harsh,30459.00,Medium Salary
E087,Simran,68080.00,Low Salary
E088,Aman,104127.00,High Salary
E089,Rahul,58336.00,Low Salary
E090,Deepak,63282.00,Low Salary
E091,Shreya,53865.00,Low Salary
E092,Roshan,49341.00,Low Salary
E093,Simran,95086.00,High Salary
E094,Priya,110022.00,High Salary
E095,Riya,99974.00,High Salary
E096,Anjali,48126.00,Low Salary
E097,Harsh,73280.00,Low Salary
E098,Deepak,35340.00,Medium Salary
E099,Priya,90133.00,High Salary
E100,Aditya,104729.00,High Salary
E101,Harsh,28398.00,Medium Salary
E102,Aman,96747.00,High Salary
E103,Simran,82851.00,High Salary
E104,Harsh,97456.00,High Salary
E105,Anjali,27015.00,Medium Salary
E106,Vivek,76116.00,Low Salary
E107,Rahul,103057.00,High Salary
E108,Riya,41080.00,Low Salary
E109,Kunal,25026.00,Medium Salary
E110,Sneha,94794.00,High Salary
E111,Isha,100888.00,High Salary
E112,Simran,23755.00,Medium Salary
E113,Aman,111110.00,High Salary
E114,Shreya,88994.00,High Salary
E115,Sneha,63976.00,Low Salary
E116,Anjali,113432.00,High Salary
E117,Riya,86040.00,High Salary
E118,Roshan,52623.00,Low Salary
E119,Roshan,75378.00,Low Salary
E120,Sneha,105340.00,High Salary
E121,Simran,79658.00,Low Salary
E122,Riya,42883.00,Low Salary
E123,Shreya,91834.00,High Salary
E124,Shreya,87432.00,High Salary
E125,Roshan,27809.00,Medium Salary
E126,Isha,97061.00,High Salary
E127,Aditya,110939.00,High Salary
E128,Kunal,74849.00,Low Salary
E129,Sneha,79660.00,Low Salary
E130,Roshan,68582.00,Low Salary
E131,Kunal,53956.00,Low Salary
E132,Priya,75492.00,Low Salary
E133,Aditya,40915.00,Low Salary
E134,Aditya,39927.00,Medium Salary
E135,Isha,59810.00,Low Salary
E136,Aditya,110610.00,High Salary
E137,Kunal,79026.00,Low Salary
E138,Riya,37210.00,Medium Salary
E139,Anjali,20507.00,Medium Salary
E140,Aman,97174.00,High Salary
E141,Isha,22669.00,Medium Salary
E142,Roshan,32375.00,Medium Salary
E143,Harsh,114579.00,High Salary
E144,Kunal,26355.00,Medium Salary
E145,Vivek,107655.00,High Salary
E146,Deepak,28740.00,Medium Salary
E147,Shreya,114684.00,High Salary
E148,Priya,64037.00,Low Salary
E149,Roshan,84644.00,High Salary
E150,Roshan,106032.00,High Salary
E151,Aditya,51173.00,Low Salary
E152,Roshan,63014.00,Low Salary
E153,Roshan,77590.00,Low Salary
E154,Vivek,57040.00,Low Salary
E155,Simran,91568.00,High Salary
E156,Isha,101083.00,High Salary
E157,Isha,20814.00,Medium Salary
E158,Harsh,56858.00,Low Salary
E159,Deepak,103027.00,High Salary
E160,Roshan,49651.00,Low Salary
E161,Sneha,104828.00,High Salary
E162,Riya,28033.00,Medium Salary
E163,Vivek,79309.00,Low Salary
E164,Roshan,92615.00,High Salary
E165,Priya,106223.00,High Salary
E166,Kunal,27911.00,Medium Salary
E167,Isha,44801.00,Low Salary
E168,Aman,32755.00,Medium Salary
E169,Harsh,33817.00,Medium Salary
E170,Priya,88862.00,High Salary
