employee_id,name,city,location_zone
E001,Deepak,Chennai,Non Metro
E002,Riya,Pune,Non Metro
E003,Priya,Bangalore,Metro
E004,Priya,Hyderabad,Non Metro
E005,Simran,Delhi,Metro
E006,Vivek,Chennai,Non Metro
E007,Harsh,Hyderabad,Non Metro
E008,Sneha,Bangalore,Metro
E009,Rahul,Kolkata,Non Metro
E010,Simran,Mumbai,Metro
E011,Vivek,Delhi,Metro
E012,Riya,Kolkata,Non Metro
E013,Deepak,Mumbai,Metro
E014,Aditya,Hyderabad,Non Metro
E015,Rahul,Delhi,Metro
E016,Kunal,Bangalore,Metro
E017,Isha,Bangalore,Metro
E018,Deepak,Pune,Non Metro
E019,Anjali,Chennai,Non Metro
E020,Isha,Pune,Non Metro
E021,Rahul,Hyderabad,Non Metro
E022,Anjali,Mumbai,Metro
E023,Roshan,Delhi,Metro
E024,Isha,Pune,Non Metro
E025,Riya,Delhi,Metro
E026,Harsh,Kolkata,Non Metro
E027,Vivek,Pune,Non Metro
E028,Shreya,Hyderabad,Non Metro
E029,Harsh,Hyderabad,Non Metro
E030,Priya,Hyderabad,Non Metro
E031,Priya,Bangalore,Metro
E032,Kunal,Pune,Non Metro
E033,Aman,Hyderabad,Non Metro
E034,Shreya,Delhi,Metro
E035,Rahul,Delhi,Metro
E036,Simran,Hyderabad,Non Metro
E037,Harsh,Chennai,Non Metro
E038,Anjali,Hyderabad,Non Metro
E039,Riya,Hyderabad,Non Metro
E040,Sneha,Bangalore,Metro
E041,Aditya,Mumbai,Metro
E042,Priya,Bangalore,Metro
E043,Shreya,Hyderabad,Non Metro
E044,Sneha,Hyderabad,Non Metro
E045,Harsh,Bangalore,Metro
E046,Isha,Pune,Non Metro
E047,Priya,Mumbai,Metro
E048,Shreya,Delhi,Metro
E049,Kunal,Hyderabad,Non Metro
E050,Deepak,Hyderabad,Non Metro
E051,Anjali,Chennai,Non Metro
E052,Rahul,Pune,Non Metro
E053,Deepak,Pune,Non Metro
E054,Kunal,Pune,Non Metro
E055,Aman,Kolkata,Non Metro
E056,Anjali,Kolkata,Non Metro
E057,Aman,Pune,Non Metro
E058,Priya,Bangalore,Metro
E059,Riya,Mumbai,Metro
E060,Rahul,Bangalore,Metro
E061,Rahul,Bangalore,Metro
E062,Deepak,Hyderabad,Non Metro
E063,Simran,Kolkata,Non Metro
E064,Rahul,Hyderabad,Non Metro
E065,Isha,Pune,Non Metro
E066,Isha,Hyderabad,Non Metro
E067,Priya,Mumbai,Metro
E068,Sneha,Pune,Non Metro
E069,Shreya,Kolkata,Non Metro
E070,Kunal,Mumbai,Metro
E071,Aman,Mumbai,Metro
E072,Roshan,Chennai,Non Metro
E073,Deepak,Bangalore,Metro
E074,Isha,Kolkata,Non Metro
E075,Simran,Pune,Non Metro
E076,Vivek,Pune,Non Metro
E077,Isha,Mumbai,Metro
E078,Anjali,Kolkata,Non Metro
E079,Sneha,Chennai,Non Metro
E080,Roshan,Chennai,Non Metro
E081,Anjali,Delhi,Metro
E082,Vivek,Delhi,Metro
E083,Simran,Bangalore,Metro
E084,Simran,Mumbai,Metro
E085,Simran,Mumbai,Metro
E086,Harsh,Pune,Non Metro
E087,Simran,Pune,Non Metro
E088,Aman,Mumbai,Metro
E089,Rahul,Pune,Non Metro
E090,Deepak,Kolkata,Non Metro
E091,Shreya,Bangalore,Metro
E092,Roshan,Mumbai,Metro
E093,Simran,Pune,Non Metro
E094,Priya,Mumbai,Metro
E095,Riya,Bangalore,Metro
E096,Anjali,Pune,Non Metro
E097,Harsh,Kolkata,Non Metro
E098,Deepak,Hyderabad,Non Metro
E099,Priya,Pune,Non Metro
E100,Aditya,Mumbai,Metro
E101,Harsh,Hyderabad,Non Metro
E102,Aman,Bangalore,Metro
E103,Simran,Hyderabad,Non Metro
E104,Harsh,Chennai,Non Metro
E105,Anjali,Chennai,Non Metro
E106,Vivek,Hyderabad,Non Metro
E107,Rahul,Chennai,Non Metro
E108,Riya,Delhi,Metro
E109,Kunal,Bangalore,Metro
E110,Sneha,Pune,Non Metro
E111,Isha,Bangalore,Metro
E112,Simran,Chennai,Non Metro
E113,Aman,Chennai,Non Metro
E114,Shreya,Hyderabad,Non Metro
E115,Sneha,Chennai,Non Metro
E116,Anjali,Kolkata,Non Metro
E117,Riya,Hyderabad,Non Metro
E118,Roshan,Mumbai,Metro
E119,Roshan,Delhi,Metro
E120,Sneha,Delhi,Metro
E121,Simran,Mumbai,Metro
E122,Riya,Kolkata,Non Metro
E123,Shreya,Hyderabad,Non Metro
E124,Shreya,Hyderabad,Non Metro
E125,Roshan,Delhi,Metro
E126,Isha,Hyderabad,Non Metro
E127,Aditya,Hyderabad,Non Metro
E128,Kunal,Delhi,Metro
E129,Sneha,Bangalore,Metro
E130,Roshan,Mumbai,Metro
E131,Kunal,Delhi,Metro
E132,Priya,Pune,Non Metro
E133,Aditya,Bangalore,Metro
E134,Aditya,Delhi,Metro
E135,Isha,Delhi,Metro
E136,Aditya,Bangalore,Metro
E137,Kunal,Chennai,Non Metro
E138,Riya,Delhi,Metro
E139,Anjali,Bangalore,Metro
E140,Aman,Kolkata,Non Metro
E141,Isha,Pune,Non Metro
E142,Roshan,Bangalore,Metro
E143,Harsh,Hyderabad,Non Metro
E144,Kunal,Kolkata,Non Metro
E145,Vivek,Bangalore,Metro
E146,Deepak,Pune,Non Metro
E147,Shreya,Pune,Non Metro
E148,Priya,Chennai,Non Metro
E149,Roshan,Mumbai,Metro
E150,Roshan,Bangalore,Metro
E151,Aditya,Pune,Non Metro
E152,Roshan,Bangalore,Metro
E153,Roshan,Chennai,Non Metro
E154,Vivek,Bangalore,Metro
E155,Simran,Mumbai,Metro
E156,Isha,Hyderabad,Non Metro
E157,Isha,Kolkata,Non Metro
E158,Harsh,Chennai,Non Metro
E159,Deepak,Kolkata,Non Metro
E160,Roshan,Bangalore,Metro
E161,Sneha,Chennai,Non Metro
E162,Riya,Delhi,Metro
E163,Vivek,Hyderabad,Non Metro
E164,Roshan,Kolkata,Non Metro
E165,Priya,Kolkata,Non Metro
E166,Kunal,Mumbai,Metro
E167,Isha,Hyderabad,Non Metro
E168,Aman,Kolkata,Non Metro
E169,Harsh,Hyderabad,Non Metro
E170,Priya,Mumbai,Metro
E171,Aman,Bangalore,Metro
E172,Shreya,Hyderabad,Non Metro
E173,Shreya,Hyderabad,Non Metro
E174,Aditya,Pune,Non Metro
E175,Isha,Delhi,Metro
E176,Riya,Delhi,Metro
E177,Vivek,Bangalore,Metro
E178,Deepak,Delhi,Metro
E179,Roshan,Chennai,Non Metro
E180,Vivek,Bangalore,Metro
E181,Simran,Kolkata,Non Metro
E182,Aditya,Delhi,Metro
E183,Roshan,Mumbai,Metro
E184,Sneha,Kolkata,Non Metro
E185,Aditya,Mumbai,Metro
E186,Sneha,Chennai,Non Metro
E187,Isha,Mumbai,Metro
E188,Priya,Kolkata,Non Metro
E189,Harsh,Bangalore,Metro
E190,Aditya,Kolkata,Non Metro
E191,Isha,Hyderabad,Non Metro
E192,Deepak,Pune,Non Metro
E193,Shreya,Chennai,Non Metro
E194,Vivek,Mumbai,Metro
E195,Shreya,Pune,Non Metro
E196,Deepak,Delhi,Metro
E197,Kunal,Delhi,Metro
E198,Simran,Chennai,Non Metro
E199,Vivek,Kolkata,Non Metro
E200,Rahul,Mumbai,Metro
