name,join_date,Exp,experience_level
Deepak,2022-05-08,3,Mid
Riya,2024-09-08,1,Junior
Priya,2022-04-23,3,Mid
Priya,2024-01-22,1,Junior
Simran,2024-01-24,1,Junior
Vivek,2024-07-01,1,Junior
Harsh,2024-05-23,1,Junior
Sneha,2022-03-25,3,Mid
Rahul,2021-11-05,4,Mid
Simran,2020-09-08,5,senior
Vivek,2025-03-17,0,Junior
Riya,2023-06-27,2,Mid
Deepak,2025-03-03,0,Junior
Aditya,2020-06-13,5,senior
Rahul,2022-02-01,3,Mid
Kunal,2022-12-20,3,Mid
Isha,2022-12-06,3,Mid
Deepak,2025-07-20,0,Junior
Anjali,2023-11-20,2,Mid
Isha,2021-10-03,4,Mid
Rahul,2021-03-25,4,Mid
Anjali,2025-07-26,0,Junior
Roshan,2024-08-02,1,Junior
Isha,2024-06-20,1,Junior
Riya,2025-03-10,0,Junior
Harsh,2023-07-20,2,Mid
Vivek,2021-10-21,4,Mid
Shreya,2024-06-11,1,Junior
Harsh,2023-02-18,2,Mid
Priya,2021-09-30,4,Mid
Priya,2020-08-24,5,senior
Kunal,2023-02-21,2,Mid
Aman,2020-12-29,5,senior
Shreya,2023-11-19,2,Mid
Rahul,2023-11-17,2,Mid
Simran,2021-07-13,4,Mid
Harsh,2021-12-21,4,Mid
Anjali,2021-01-09,4,Mid
Riya,2022-08-08,3,Mid
Sneha,2021-03-29,4,Mid
Aditya,2022-08-18,3,Mid
Priya,2022-02-28,3,Mid
Shreya,2023-05-25,2,Mid
Sneha,2024-12-21,1,Junior
Harsh,2021-08-09,4,Mid
Isha,2024-01-16,1,Junior
Priya,2021-04-04,4,Mid
Shreya,2020-09-03,5,senior
Kunal,2023-09-23,2,Mid
Deepak,2024-04-16,1,Junior
Anjali,2024-01-28,1,Junior
Rahul,2023-03-25,2,Mid
Deepak,2021-12-13,4,Mid
Kunal,2021-08-12,4,Mid
Aman,2024-09-18,1,Junior
Anjali,2022-12-15,3,Mid
Aman,2022-05-10,3,Mid
Priya,2024-12-06,1,Junior
Riya,2023-10-29,2,Mid
Rahul,2021-06-11,4,Mid
Rahul,2024-05-23,1,Junior
Deepak,2024-07-27,1,Junior
Simran,2023-05-29,2,Mid
Rahul,2022-02-27,3,Mid
Isha,2025-03-19,0,Junior
Isha,2021-01-18,4,Mid
Priya,2023-02-12,2,Mid
Sneha,2023-04-06,2,Mid
Shreya,2022-05-02,3,Mid
Kunal,2021-03-29,4,Mid
Aman,2020-07-19,5,senior
Roshan,2022-02-05,3,Mid
Deepak,2023-01-04,2,Mid
Isha,2023-11-18,2,Mid
Simran,2023-07-10,2,Mid
Vivek,2023-11-25,2,Mid
Isha,2023-06-21,2,Mid
Anjali,2021-08-19,4,Mid
Sneha,2022-08-17,3,Mid
Roshan,2022-01-16,3,Mid
Anjali,2020-10-02,5,senior
Vivek,2021-12-24,4,Mid
Simran,2020-12-19,5,senior
Simran,2022-06-03,3,Mid
Simran,2021-11-10,4,Mid
Harsh,2021-09-16,4,Mid
Simran,2022-12-24,3,Mid
Aman,2023-04-12,2,Mid
Rahul,2024-11-28,1,Junior
Deepak,2024-01-19,1,Junior
Shreya,2021-05-24,4,Mid
Roshan,2022-06-26,3,Mid
Simran,2020-07-19,5,senior
Priya,2020-05-25,5,senior
Riya,2022-09-21,3,Mid
Anjali,2024-04-10,1,Junior
Harsh,2024-11-15,1,Junior
Deepak,2025-06-14,0,Junior
