employee_id,name,salary,salary_review_flag
E001,Deepak,39670.00,satisfactory
E002,Riya,34554.00,satisfactory
E003,Priya,90323.00,satisfactory
E004,Priya,77809.00,satisfactory
E005,Simran,59644.00,satisfactory
E006,Vivek,89678.00,satisfactory
E007,Harsh,28352.00,Review Required
E008,Sneha,20617.00,Review Required
E009,Rahul,31618.00,satisfactory
E010,Simran,46949.00,satisfactory
E011,Vivek,69435.00,satisfactory
E012,Riya,57287.00,satisfactory
E013,Deepak,115521.00,satisfactory
E014,Aditya,45877.00,satisfactory
E015,Rahul,52847.00,satisfactory
E016,Kunal,40352.00,satisfactory
E017,Isha,96940.00,satisfactory
E018,Deepak,107671.00,satisfactory
E019,Anjali,118708.00,satisfactory
E020,Isha,33574.00,satisfactory
E021,Rahul,88361.00,satisfactory
E022,Anjali,89098.00,satisfactory
E023,Roshan,21021.00,Review Required
E024,Isha,107996.00,satisfactory
E025,Riya,32085.00,satisfactory
E026,Harsh,105584.00,satisfactory
E027,Vivek,90649.00,satisfactory
E028,Shreya,24003.00,Review Required
E029,Harsh,114932.00,satisfactory
E030,Priya,37586.00,satisfactory
E031,Priya,47396.00,satisfactory
E032,Kunal,93960.00,satisfactory
E033,Aman,114470.00,satisfactory
E034,Shreya,76966.00,satisfactory
E035,Rahul,57534.00,satisfactory
E036,Simran,76241.00,satisfactory
E037,Harsh,105614.00,satisfactory
E038,Anjali,64341.00,satisfactory
E039,Riya,46649.00,satisfactory
E040,Sneha,64586.00,satisfactory
E041,Aditya,27183.00,Review Required
E042,Priya,52539.00,satisfactory
E043,Shreya,40216.00,satisfactory
E044,Sneha,39567.00,satisfactory
E045,Harsh,50900.00,satisfactory
E046,Isha,90015.00,satisfactory
E047,Priya,48974.00,satisfactory
E048,Shreya,76957.00,satisfactory
E049,Kunal,75855.00,satisfactory
E050,Deepak,70924.00,satisfactory
E051,Anjali,41704.00,satisfactory
E052,Rahul,56738.00,satisfactory
E053,Deepak,42340.00,satisfactory
E054,Kunal,103724.00,satisfactory
E055,Aman,64824.00,satisfactory
E056,Anjali,79749.00,satisfactory
E057,Aman,66684.00,satisfactory
E058,Priya,88289.00,satisfactory
E059,Riya,103183.00,satisfactory
E060,Rahul,37623.00,satisfactory
E061,Rahul,102952.00,satisfactory
E062,Deepak,111593.00,satisfactory
E063,Simran,97348.00,satisfactory
E064,Rahul,59458.00,satisfactory
E065,Isha,53577.00,satisfactory
E066,Isha,110201.00,satisfactory
E067,Priya,87226.00,satisfactory
