employee_id,name,salary,performance_grade
E001,Deepak,39670.00,D
E002,Riya,34554.00,D
E003,Priya,90323.00,A
E004,Priya,77809.00,B
E005,Simran,59644.00,C
E006,Vivek,89678.00,B
E007,Harsh,28352.00,D
E008,Sneha,20617.00,D
E009,Rahul,31618.00,D
E010,Simran,46949.00,D
E011,Vivek,69435.00,C
E012,Riya,57287.00,C
E013,Deepak,115521.00,A
E014,Aditya,45877.00,D
E015,Rahul,52847.00,C
E016,Kunal,40352.00,D
E017,Isha,96940.00,A
E018,Deepak,107671.00,A
E019,Anjali,118708.00,A
E020,Isha,33574.00,D
E021,Rahul,88361.00,B
E022,Anjali,89098.00,B
E023,Roshan,21021.00,D
E024,Isha,107996.00,A
E025,Riya,32085.00,D
E026,Harsh,105584.00,A
E027,Vivek,90649.00,A
E028,Shreya,24003.00,D
E029,Harsh,114932.00,A
E030,Priya,37586.00,D
E031,Priya,47396.00,D
E032,Kunal,93960.00,A
E033,Aman,114470.00,A
E034,Shreya,76966.00,B
E035,Rahul,57534.00,C
E036,Simran,76241.00,B
E037,Harsh,105614.00,A
E038,Anjali,64341.00,C
E039,Riya,46649.00,D
E040,Sneha,64586.00,C
E041,Aditya,27183.00,D
E042,Priya,52539.00,C
E043,Shreya,40216.00,D
E044,Sneha,39567.00,D
E045,Harsh,50900.00,C
E046,Isha,90015.00,A
E047,Priya,48974.00,D
E048,Shreya,76957.00,B
E049,Kunal,75855.00,B
E050,Deepak,70924.00,B
E051,Anjali,41704.00,D
E052,Rahul,56738.00,C
E053,Deepak,42340.00,D
E054,Kunal,103724.00,A
E055,Aman,64824.00,C
E056,Anjali,79749.00,B
E057,Aman,66684.00,C
E058,Priya,88289.00,B
E059,Riya,103183.00,A
E060,Rahul,37623.00,D
E061,Rahul,102952.00,A
E062,Deepak,111593.00,A
E063,Simran,97348.00,A
E064,Rahul,59458.00,C
E065,Isha,53577.00,C
E066,Isha,110201.00,A
E067,Priya,87226.00,B
E068,Sneha,102407.00,A
E069,Shreya,70284.00,B
E070,Kunal,55470.00,C
E071,Aman,112903.00,A
E072,Roshan,65402.00,C
E073,Deepak,94777.00,A
E074,Isha,90388.00,A
E075,Simran,57627.00,C
E076,Vivek,111823.00,A
E077,Isha,69475.00,C
E078,Anjali,102989.00,A
E079,Sneha,104411.00,A
E080,Roshan,40973.00,D
E081,Anjali,63302.00,C
E082,Vivek,62057.00,C
E083,Simran,104004.00,A
E084,Simran,42190.00,D
E085,Simran,103867.00,A
E086,Harsh,30459.00,D
E087,Simran,68080.00,C
E088,Aman,104127.00,A
E089,Rahul,58336.00,C
E090,Deepak,63282.00,C
E091,Shreya,53865.00,C
E092,Roshan,49341.00,D
E093,Simran,95086.00,A
E094,Priya,110022.00,A
E095,Riya,99974.00,A
E096,Anjali,48126.00,D
E097,Harsh,73280.00,B
E098,Deepak,35340.00,D
E099,Priya,90133.00,A
E100,Aditya,104729.00,A
E101,Harsh,28398.00,D
E102,Aman,96747.00,A
E103,Simran,82851.00,B
E104,Harsh,97456.00,A
E105,Anjali,27015.00,D
E106,Vivek,76116.00,B
E107,Rahul,103057.00,A
E108,Riya,41080.00,D
E109,Kunal,25026.00,D
E110,Sneha,94794.00,A
E111,Isha,100888.00,A
E112,Simran,23755.00,D
E113,Aman,111110.00,A
E114,Shreya,88994.00,B
E115,Sneha,63976.00,C
E116,Anjali,113432.00,A
E117,Riya,86040.00,B
E118,Roshan,52623.00,C
E119,Roshan,75378.00,B
E120,Sneha,105340.00,A
E121,Simran,79658.00,B
E122,Riya,42883.00,D
E123,Shreya,91834.00,A
E124,Shreya,87432.00,B
E125,Roshan,27809.00,D
E126,Isha,97061.00,A
E127,Aditya,110939.00,A
E128,Kunal,74849.00,B
E129,Sneha,79660.00,B
E130,Roshan,68582.00,C
E131,Kunal,53956.00,C
E132,Priya,75492.00,B
E133,Aditya,40915.00,D
E134,Aditya,39927.00,D
E135,Isha,59810.00,C
E136,Aditya,110610.00,A
E137,Kunal,79026.00,B
E138,Riya,37210.00,D
E139,Anjali,20507.00,D
E140,Aman,97174.00,A
E141,Isha,22669.00,D
E142,Roshan,32375.00,D
E143,Harsh,114579.00,A
E144,Kunal,26355.00,D
E145,Vivek,107655.00,A
E146,Deepak,28740.00,D
E147,Shreya,114684.00,A
E148,Priya,64037.00,C
E149,Roshan,84644.00,B
E150,Roshan,106032.00,A
E151,Aditya,51173.00,C
E152,Roshan,63014.00,C
E153,Roshan,77590.00,B
E154,Vivek,57040.00,C
E155,Simran,91568.00,A
E156,Isha,101083.00,A
E157,Isha,20814.00,D
E158,Harsh,56858.00,C
E159,Deepak,103027.00,A
E160,Roshan,49651.00,D
E161,Sneha,104828.00,A
E162,Riya,28033.00,D
E163,Vivek,79309.00,B
E164,Roshan,92615.00,A
E165,Priya,106223.00,A
E166,Kunal,27911.00,D
E167,Isha,44801.00,D
E168,Aman,32755.00,D
E169,Harsh,33817.00,D
E170,Priya,88862.00,B
E171,Aman,35961.00,D
E172,Shreya,66806.00,C
E173,Shreya,45124.00,D
E174,Aditya,96100.00,A
E175,Isha,39779.00,D
E176,Riya,111873.00,A
E177,Vivek,38728.00,D
E178,Deepak,102078.00,A
E179,Roshan,35250.00,D
E180,Vivek,83255.00,B
E181,Simran,43846.00,D
E182,Aditya,57301.00,C
E183,Roshan,100820.00,A
E184,Sneha,25245.00,D
E185,Aditya,46751.00,D
E186,Sneha,22992.00,D
E187,Isha,50030.00,C
E188,Priya,118066.00,A
